date,open,high,low,close,volume,per,pbr,nasdaq_ma5,nasdaq_ma20,bond_u3y_ma5,bond_u3y_ma20,wti_ma5,nlp_pos,nlp_neg,nlp_neu,nlp_compound
2021-02-03,135.76,135.77,133.61,133.94,89880000,28.6,30.8,13406.914,13282.7415,0.1776,0.1946,78.68,0.3046,0.6559,0.0395,0.6193
2021-02-04,136.3,137.4,134.59,137.39,84180000,28.6,30.8,13495.03,13334.589,0.1798,0.1926,78.636,0.3046,0.6559,0.0395,0.6193
2021-02-05,137.35,137.42,135.86,136.76,75690000,28.6,30.8,13652.15,13374.03,0.1814,0.1901,79.01,0.3046,0.6559,0.0395,0.6193
2021-02-08,136.03,136.96,134.92,136.91,71300000,28.6,30.8,13769,13413.3135,0.1858,0.1863,79.246,0.3046,0.6559,0.0395,0.6193
2021-02-09,136.62,137.88,135.85,136.01,76770000,28.6,30.8,13847.984,13461.877,0.1854,0.1854,79.216,0.3046,0.6559,0.0395,0.6193
2021-02-10,136.48,136.99,134.4,135.39,73050000,28.6,30.8,13920.382,13506.882,0.1852,0.184,79.262,0.3046,0.6559,0.0395,0.6193
2021-02-11,135.9,136.39,133.77,135.13,64280000,28.6,30.8,13969.988,13551.723,0.1866,0.1834,79.158,0.3046,0.6559,0.0395,0.6193
2021-02-12,134.35,135.53,133.69,135.37,60150000,28.6,30.8,14017.822,13600.8645,0.189,0.1835,78.87,0.1889,0.7521,0.0591,0.4274
2021-02-16,135.49,136.01,132.79,133.19,80580000,28.6,30.8,14029.794,13653.3145,0.2016,0.1865,78.568,0.1889,0.7521,0.0591,0.4274
2021-02-17,131.25,132.22,129.47,130.84,98090000,28.6,30.8,14021.354,13691.7305,0.2064,0.1876,78.516,0.1889,0.7521,0.0591,0.4274
2021-02-18,129.2,129.99,127.41,129.71,96860000,28.6,30.8,13999.92,13712.136,0.21,0.189,78.438,0.1889,0.7521,0.0591,0.4274
2021-02-19,130.24,130.71,128.8,129.87,87670000,28.6,30.8,13969.658,13729.313,0.2136,0.1908,78.196,0.1889,0.7521,0.0591,0.4274
2021-02-22,128.01,129.72,125.6,126,103920000,28.6,30.8,13857.174,13728.8125,0.2154,0.195,77.964,0.1718,0.7708,0.0574,0.5023
2021-02-23,123.76,126.71,118.39,125.86,158270000,28.6,30.8,13740.714,13720.273,0.2166,0.197,77.824,0.1718,0.7708,0.0574,0.5023
2021-02-24,124.94,125.56,122.23,125.35,111040000,28.6,30.8,13667.208,13718.868,0.223,0.2003,77.464,0.1762,0.775,0.0488,0.5823
2021-02-25,124.68,126.46,120.54,120.99,148200000,28.6,30.8,13518.022,13711.3095,0.2512,0.2094,77.058,0.1762,0.775,0.0488,0.5823
2021-02-26,122.59,124.85,121.2,121.26,164560000,28.6,30.8,13381.598,13704.0685,0.2634,0.2145,76.658,0.1549,0.7762,0.0689,0.257
2021-03-01,123.75,127.93,122.79,127.79,116310000,28.6,30.8,13392.754,13729.975,0.2788,0.2218,76.324,0.2026,0.7592,0.0382,0.5968
2021-03-02,128.41,128.72,125.01,125.12,102260000,28.6,30.8,13371.472,13727.745,0.2812,0.2252,75.91,0.1095,0.8005,0.09,0.1084
2021-03-03,124.81,125.71,121.84,122.06,112970000,28.6,30.8,13251.428,13696.9935,0.2682,0.2305,75.504,0.0882,0.8407,0.0708,0.1292
2021-03-04,121.75,123.6,118.62,120.13,178160000,28.6,30.8,13172.236,13652.64,0.2732,0.2364,75.054,0.1234,0.7555,0.121,-0.0314
2021-03-05,120.98,121.93,117.57,121.42,153770000,28.6,30.8,13117.798,13609.7605,0.282,0.2426,75.226,0.1234,0.7555,0.121,-0.0314
2021-03-08,120.93,121,116.21,116.36,154380000,28.6,30.8,12921.864,13547.4035,0.315,0.2573,75.396,0.2149,0.7055,0.0795,0.3474
2021-03-09,119.03,122.06,118.79,121.08,129530000,28.6,30.8,12864.872,13501.713,0.3206,0.2634,75.3,0.2149,0.7055,0.0795,0.3474
2021-03-10,121.69,122.17,119.45,119.98,111940000,28.6,30.8,12879.088,13454.7695,0.3246,0.2692,75.538,0.2149,0.7055,0.0795,0.3474
2021-03-11,122.54,123.21,121.26,121.96,103030000,28.6,30.8,13014.128,13426.0765,0.3258,0.2737,75.704,0.2149,0.7055,0.0795,0.3474
2021-03-12,120.4,121.17,119.16,121.03,88110000,28.6,30.8,13094.072,13390.7815,0.329,0.2802,75.594,0.2149,0.7055,0.0795,0.3474
2021-03-15,121.41,124,120.42,123.99,92590000,28.6,30.8,13264.182,13358.9935,0.3326,0.2932,75.44,0.2149,0.7055,0.0795,0.3474
2021-03-16,125.7,127.22,124.71,125.57,115230000,28.6,30.8,13343.73,13330.197,0.3352,0.2991,75.624,0.2149,0.7055,0.0795,0.3474
2021-03-17,124.05,125.86,122.34,124.76,111930000,28.6,30.8,13435.004,13308.182,0.3326,0.3029,75.624,0.2149,0.7055,0.0795,0.3474
2021-03-18,122.88,123.18,120.32,120.53,121470000,28.6,30.8,13378.504,13270.7225,0.33,0.3085,75.784,0.0553,0.8138,0.131,-0.3002
2021-03-19,119.9,121.43,119.68,119.99,185550000,28.6,30.8,13357.578,13237.7615,0.328,0.3133,75.678,0.0553,0.8138,0.131,-0.3002
2021-03-22,120.33,123.87,120.26,123.39,111910000,28.6,30.8,13341.144,13229.986,0.3224,0.3139,75.696,0.0553,0.8138,0.131,-0.3002
2021-03-23,123.33,124.24,122.14,122.54,95470000,28.6,30.8,13292.37,13218.111,0.3224,0.3157,76.074,0.0553,0.8138,0.131,-0.3002
2021-03-24,122.82,122.9,120.07,120.09,88530000,28.6,30.8,13179.708,13186.307,0.3184,0.3184,76.468,0.0553,0.8138,0.131,-0.3002
2021-03-25,119.54,121.66,119,120.59,98850000,28.6,30.8,13152.01,13179.2195,0.3106,0.3206,76.832,0.0553,0.8138,0.131,-0.3002
2021-03-26,120.35,121.48,118.92,121.21,94070000,28.6,30.8,13136.706,13176.5385,0.307,0.3216,77.68,0.0553,0.8138,0.131,-0.3002
2021-03-29,121.65,122.58,120.73,121.39,80820000,28.6,30.8,13073.128,13150.0795,0.3072,0.322,78.506,0.0553,0.8138,0.131,-0.3002
2021-03-30,120.11,120.4,118.86,119.9,85670000,28.6,30.8,13036.666,13134.4095,0.3114,0.3222,78.822,0.0553,0.8138,0.131,-0.3002
2021-03-31,121.65,123.52,121.15,122.15,118320000,28.6,30.8,13093.662,13146.8655,0.3222,0.3225,79.034,0.0553,0.8138,0.131,-0.3002
2021-04-01,123.66,124.18,122.49,123,75090000,28.6,30.8,13194.148,13184.6975,0.3282,0.3235,79.166,0.0553,0.8138,0.131,-0.3002
2021-04-05,123.87,126.16,123.07,125.9,88650000,28.6,30.8,13307.522,13223.9695,0.3522,0.328,79.228,0.0553,0.8138,0.131,-0.3002
